episode_id,seed,trace_hash,formation_length,length_bucket,formation_width,width_bucket,formation_speed,speed_bucket,class_id,classification_method,valid
B0V2_S2_s9001,9001,911a2abcdb300eca,53985.6,MID,4271.2,HIGH,9.731,HIGH,LENGTH_MID__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9002,9002,75689d450fa1c07d,42792.7,LOW,3019.1,MID,5.375,LOW,LENGTH_LOW__WIDTH_MID__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9003,9003,73363f745b50899c,55782.2,MID,3931.0,MID,8.742,HIGH,LENGTH_MID__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9004,9004,6f0314b0deb0c93e,61444.0,HIGH,3296.2,MID,6.588,MID,LENGTH_HIGH__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9005,9005,9b2f86da83eed1e8,44048.3,LOW,2257.4,LOW,5.402,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9006,9006,2f3ea7ea3165ab0c,57061.1,HIGH,4312.9,HIGH,7.66,MID,LENGTH_HIGH__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9007,9007,1358531578c94f64,44968.2,LOW,1274.0,LOW,7.141,MID,LENGTH_LOW__WIDTH_LOW__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9008,9008,8c4c5e48c2692e59,56544.5,MID,4031.3,HIGH,9.999,HIGH,LENGTH_MID__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9009,9009,e54290497bd889ac,44015.8,LOW,1869.2,LOW,5.251,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9010,9010,89961d3783c8cef6,57322.7,HIGH,1641.4,LOW,5.707,LOW,LENGTH_HIGH__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9011,9011,dcdaeafce59cddfe,45900.2,LOW,2795.0,LOW,6.009,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9012,9012,63ca4d0dfb4374e7,50741.8,MID,2993.5,MID,8.155,HIGH,LENGTH_MID__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9013,9013,2d9d63596ba4e930,47605.4,MID,3335.0,MID,6.1,MID,LENGTH_MID__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9014,9014,7aa89cdb8a0a394c,50205.1,MID,2154.5,LOW,5.493,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9015,9015,468a7cfa3e0d8fa6,57535.7,HIGH,2140.0,LOW,5.305,LOW,LENGTH_HIGH__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9016,9016,4235d1494b99b458,66758.2,HIGH,5805.1,HIGH,9.931,HIGH,LENGTH_HIGH__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9017,9017,9dd4c356c598475f,45638.6,LOW,2336.7,LOW,6.762,MID,LENGTH_LOW__WIDTH_LOW__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9018,9018,a4577fb557efc9f9,60152.6,HIGH,5275.1,HIGH,7.771,MID,LENGTH_HIGH__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9019,9019,fb5b21f2743b001e,47723.1,MID,5817.0,HIGH,7.675,MID,LENGTH_MID__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9020,9020,ba6cb60378e2a4c2,45638.9,LOW,3093.4,MID,9.796,HIGH,LENGTH_LOW__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9021,9021,710c72d53c44500b,45372.1,LOW,1303.0,LOW,5.278,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9022,9022,9230017d776fb84f,58427.0,HIGH,3065.5,MID,9.696,HIGH,LENGTH_HIGH__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9023,9023,9906201e28a8d786,67319.3,HIGH,5852.9,HIGH,8.078,HIGH,LENGTH_HIGH__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9024,9024,d551cd54321833ad,59452.0,HIGH,2962.2,MID,5.163,LOW,LENGTH_HIGH__WIDTH_MID__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9025,9025,c5ebfdf13526d55c,50683.2,MID,4914.7,HIGH,6.438,MID,LENGTH_MID__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9026,9026,f5ab8f512a51a1c7,49868.3,MID,2862.7,MID,7.477,MID,LENGTH_MID__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9027,9027,b7c5d0fb15cf7ab0,43647.9,LOW,7274.8,HIGH,9.652,HIGH,LENGTH_LOW__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
